No,movie,week_at_Top10,hours_seen,duration,views
9,The Gray Man,6,6260000,,
10,Collateral,1,6100000,,
1,Me Time,1,59230000,,
2,Look Both Ways,2,29890000,,
3,The Next 365 Days,2,27010000,,
4,Day Shift,3,20460000,,
5,Purple Hearts,5,12360000,,
6,The Mummy,1,11540000,,
7,Running with the Devil: The Wild World of John McAfee,1,10630000,,
8,Untold: The Girlfriend Who Didn't Exist,2,10480000,,
9,That's Amor,1,10470000,,
10,The Great Wall,1,10090000,,
1,Day Shift,2,63390000,,
2,Look Both Ways,1,48060000,,
3,The Next 365 Days,1,39310000,,
4,Purple Hearts,4,23410000,,
5,Untold: The Girlfriend Who Didn't Exist,1,20050000,,
6,The Gray Man,5,14640000,,
7,The Angry Birds Movie 2,1,11470000,,
8,Uncharted,3,8660000,,
9,The Sea Beast,7,8120000,,
10,Inside the Mind of a Cat,1,6990000,,
1,Day Shift,2,63390000,,
2,Look Both Ways,1,48060000,,
3,The Next 365 Days,1,39310000,,
4,Purple Hearts,4,23410000,,
5,Untold: The Girlfriend Who Didn't Exist,1,20050000,,
6,The Gray Man,5,14640000,,
7,The Angry Birds Movie 2,1,11470000,,
8,Uncharted,3,8660000,,
9,The Sea Beast,7,8120000,,
10,Inside the Mind of a Cat,1,6990000,,
1,Purple Hearts,2,102590000,,
2,The Gray Man,3,38900000,,
3,Uncharted,1,20650000,,
4,Wedding Season,1,18600000,,
5,The Sea Beast,5,14340000,,
6,Spider-Man: Far from Home,2,11320000,,
7,The Age of Adaline,1,9340000,,
8,Tower Heist,1,8700000,,
9,Men in Black 3,1,8680000,,
10,Sing 2,7,7950000,,
1,The Gray Man,2,96470000,,
2,Purple Hearts,1,48230000,,
3,The Sea Beast,4,21070000,,
4,Persuasion,3,11070000,,
5,Sing 2,6,9370000,,
6,Spider-Man: Far from Home,1,8300000,,
7,The Man from Toronto,6,7620000,,
8,Shania Twain: Not Just a Girl,1,4640000,,
9,Line of Duty,1,4140000,,
10,Red Notice,14,4090000,,
1,The Gray Man,1,88550000,,
2,The Sea Beast,3,34140000,,
3,Persuasion,2,29040000,,
4,Clean,1,11290000,,
5,Daughter of the Wolf,1,11080000,,
6,Sing 2,5,10150000,,
7,The Man from Toronto,5,8790000,,
8,Girl in the Picture,3,7360000,,
9,CHIPS,2,5080000,,
10,12 Strong,2,4610000,,
1,The Sea Beast,2,68110000,,
2,Persuasion,1,28720000,,
3,Girl in the Picture,2,23590000,,
4,The Man from Toronto,4,13500000,,
5,Sing 2,4,12220000,,
6,12 Strong,1,11810000,,
7,Spider-Man: No Way Home,1,8080000,,
8,CHIPS,1,7480000,,
9,Hustle,6,6450000,,
10,"Hello, Goodbye, and Everything in Between",2,6170000,,
1,The Sea Beast,1,33520000,,
2,Girl in the Picture,1,28380000,,
3,The Man from Toronto,3,24380000,,
4,Sing 2,3,16580000,,
5,American Assassin,1,13360000,,
6,Grand Isle,1,11460000,,
7,"Hello, Goodbye, and Everything in Between",1,10260000,,
8,Hustle,5,9400000,,
9,Mean Girls,1,8110000,,
10,The Dark Knight Rises,1,7750000,,
1,The Man from Toronto,2,62640000,,
2,Sing 2,2,24080000,,
3,Love & Gelato,2,18900000,,
4,Hustle,4,14640000,,
5,Glamour Girls,1,12390000,,
6,Homefront,1,11000000,,
7,Spiderhead,3,9520000,,
8,The Mist,2,6230000,,
9,Chickenhare and the Hamster of Darkness,4,5980000,,
10,Backtrace,1,4530000,,
1,The Man from Toronto,1,53890000,,
2,Spiderhead,2,38300000,,
3,Hustle,3,26050000,,
4,Love & Gelato,1,25790000,,
5,Sing 2,1,24270000,,
6,Chickenhare and the Hamster of Darkness,3,10960000,,
7,Collision,2,8450000,,
8,The Mist,1,8400000,,
9,Halftime,2,8370000,,
10,It,1,8350000,,
1,Hustle,2,57190000,,
2,Spiderhead,1,35400000,,
3,Chickenhare and the Hamster of Darkness,2,23750000,,
4,Halftime,1,18880000,,
5,Interceptor,3,13110000,,
6,Collision,1,12960000,,
7,Trees of Peace,1,9380000,,
8,Sonic the Hedgehog,8,4570000,,
9,A Perfect Pairing,5,4440000,,
10,Senior Year,6,4200000,,
1,Hustle,1,84580000,,
2,Interceptor,2,40700000,,
3,Chickenhare and the Hamster of Darkness,1,9820000,,
4,The Amazing Spider-Man,2,8440000,,
5,Senior Year,5,7220000,,
6,A Perfect Pairing,4,7130000,,
7,Mission: Impossible - Ghost Protocol,1,6550000,,
8,Rambo: Last Blood,1,6530000,,
9,Deep Impact,1,6260000,,
10,Sonic the Hedgehog,7,5510000,,
1,Interceptor,1,35600000,,
2,A Perfect Pairing,3,14410000,,
3,The Amazing Spider-Man,1,13500000,,
4,Senior Year,4,13260000,,
5,Memoirs of a Geisha,1,10200000,,
6,The Outpost,1,10120000,,
7,Disappearance at Clifton Hill,1,8670000,,
8,Sonic the Hedgehog,6,6500000,,
9,Jack Reacher,1,5370000,,
10,Jackass 4.5,3,4820000,,
1,A Perfect Pairing,2,32630000,,
2,Senior Year,3,24560000,,
3,Jackass 4.5,2,18540000,,
4,Dangerous,2,11740000,,
5,Sonic the Hedgehog,5,8910000,,
6,Top Gun,1,6440000,,
7,Cleveland Abduction,1,6360000,,
8,Turbo,1,5310000,,
9,Our Father,3,5150000,,
10,Ben Is Back,1,4610000,,
1,Senior Year,2,62420000,,
2,A Perfect Pairing,1,33000000,,
3,Dangerous,1,18060000,,
4,Sonic the Hedgehog,4,15990000,,
5,Our Father,2,13580000,,
6,Jackass 4.5,1,12080000,,
7,Marmaduke,3,7480000,,
8,Operation Mincemeat,2,6720000,,
9,365 Days: This Day,4,6110000,,
10,Borrego,1,6080000,,
1,Senior Year,1,55940000,,
2,Our Father,1,23870000,,
3,Marmaduke,2,15030000,,
4,Along for the Ride,2,13310000,,
5,Operation Mincemeat,1,12620000,,
6,Sonic the Hedgehog,3,12290000,,
7,365 Days: This Day,3,10580000,,
8,U.S. Marshals,2,5520000,,
9,Den of Thieves,1,5420000,,
10,Men in Black: International,2,4650000,,
1,365 Days: This Day,2,27530000,,
2,Sonic the Hedgehog,2,17150000,,
3,Silverton Siege,2,11150000,,
4,Along for the Ride,1,10840000,,
5,The Gentlemen,1,8610000,,
6,U.S. Marshals,1,8080000,,
7,The Mystery of Marilyn Monroe: The Unheard Tapes,2,7590000,,
8,Men in Black: International,1,7370000,,
9,Marmaduke,1,7010000,,
10,365 Days,2,6290000,,
1,365 Days: This Day,1,77980000,,
2,Silverton Siege,1,20280000,,
3,The Mystery of Marilyn Monroe: The Unheard Tapes,1,15360000,,
4,365 Days,1,10040000,,
5,The Vault,3,6660000,,
6,How It Ends,4,6640000,,
7,The In Between,4,6050000,,
8,The Adam Project,8,5660000,,
9,Sonic the Hedgehog,1,4920000,,
10,Shrek,7,4540000,,
1,Choose or Die,2,15260000,,
2,The In Between,3,13350000,,
3,White Hot: The Rise & Fall of Abercrombie & Fitch,1,9920000,,
4,How It Ends,3,8280000,,
5,Yakuza Princess,1,7490000,,
6,The Adam Project,7,7480000,,
7,Playing with Fire,1,6750000,,
8,The Vault,2,6620000,,
9,Shrek,6,5310000,,
10,Cleaner,2,4920000,,
1,The In Between,2,35900000,,
2,Choose or Die,1,16000000,,
3,A Score to Settle,1,9750000,,
4,The Adam Project,6,9270000,,
5,Metal Lords,1,8740000,,
6,How It Ends,2,8600000,,
7,The Call,1,7710000,,
8,Return to Space,2,7150000,,
9,Cleaner,1,6770000,,
10,A Dog's Way Home,1,5750000,,
1,The In Between,1,26770000,,
2,The Adam Project,5,10900000,,
3,The Bubble,2,9950000,,
4,Shrek Forever After,2,9770000,,
5,The Blind Side,2,8710000,,
6,Four Brothers,1,8170000,,
7,Enough,1,5790000,,
8,How It Ends,1,5650000,,
9,Shrek,5,5340000,,
10,Return to Space,1,4550000,,
1,The Adam Project,4,17720000,,
2,The Bubble,1,12450000,,
3,Trust No One: The Hunt for the Crypto King,1,12070000,,
4,The Blind Side,1,9880000,,
5,6 Underground,3,8730000,,
6,Blade Runner 2049,1,7850000,,
7,Shrek Forever After,1,7690000,,
8,Gemini Man,3,7000000,,
9,Rescued by Ruby,3,6380000,,
10,Escape Room,1,6140000,,
1,The Adam Project,3,31700000,,
2,Rescued by Ruby,2,17030000,,
3,Gemini Man,2,16450000,,
4,Windfall,2,15490000,,
5,John Wick: Chapter 2,1,7800000,,
6,The Dead Don't Die,1,7570000,,
7,6 Underground,2,7440000,,
8,A Walk Among the Tombstones,2,6740000,,
9,Shrek,4,6350000,,
10,Despicable Me 2,7,5750000,,
1,The Adam Project,2,85360000,,
2,Rescued by Ruby,1,19940000,,
3,Gemini Man,1,11840000,,
4,The Ice Road,2,11650000,,
5,The Weekend Away,3,9240000,,
6,A Walk Among the Tombstones,1,9030000,,
7,Windfall,1,8360000,,
8,Shrek,3,7870000,,
9,Shrek 2,3,6750000,,
10,A Madea Homecoming,4,5790000,,
1,The Adam Project,1,92430000,,
2,The Weekend Away,2,26260000,,
3,Against The Ice,2,12730000,,
4,Shrek,2,10380000,,
5,Shrek 2,2,9900000,,
6,A Madea Homecoming,3,9030000,,
7,Shooter,1,7390000,,
8,Spider-Man: Into the Spider-Verse,2,5910000,,
9,Despicable Me 2,6,5720000,,
10,Coach Carter,1,5450000,,
1,The Adam Project,1,92430000,,
2,The Weekend Away,2,26260000,,
3,Against The Ice,2,12730000,,
4,Shrek,2,10380000,,
5,Shrek 2,2,9900000,,
6,A Madea Homecoming,3,9030000,,
7,Shooter,1,7390000,,
8,Spider-Man: Into the Spider-Verse,2,5910000,,
9,Despicable Me 2,6,5720000,,
10,Coach Carter,1,5450000,,
1,A Madea Homecoming,1,31560000,,
2,The Tinder Swindler,4,17670000,,
3,Texas Chainsaw Massacre,2,17440000,,
4,Downfall: The Case Against Boeing,2,9910000,,
5,Despicable Me 2,4,9750000,,
6,Fistful of Vengeance,2,7560000,,
7,Tall Girl 2,3,7470000,,
8,Abominable,2,7330000,,
9,Despicable Me,4,5590000,,
10,Red Notice,13,4970000,,
1,The Tinder Swindler,3,34450000,,
2,Texas Chainsaw Massacre,1,29180000,,
3,Tall Girl 2,2,21740000,,
4,Fistful of Vengeance,1,18300000,,
5,Despicable Me 2,3,11510000,,
6,Abominable,1,8960000,,
7,St. Vincent,1,7640000,,
8,Downfall: The Case Against Boeing,1,7420000,,
9,Despicable Me,3,7170000,,
10,The Vanishing,1,7030000,,
1,The Tinder Swindler,2,64700000,,
2,Tall Girl 2,1,27440000,,
3,13 Hours: The Secret Soldiers of Benghazi,2,13270000,,
4,Despicable Me 2,2,13080000,,
5,Home Team,3,10550000,,
6,Despicable Me,2,8950000,,
7,Dora and the Lost City of Gold,1,8750000,,
8,Faster,2,6850000,,
9,The Power of the Dog,3,5460000,,
10,Don't Look Up,8,5360000,,
1,The Tinder Swindler,1,45800000,,
2,Home Team,2,33630000,,
3,Despicable Me 2,1,14340000,,
4,13 Hours: The Secret Soldiers of Benghazi,1,12980000,,
5,Transformers: Revenge of the Fallen,1,9790000,,
6,The Royal Treatment,3,8510000,,
7,Don't Look Up,7,6930000,,
8,Despicable Me,1,6850000,,
9,Can You Keep a Secret?,1,6410000,,
10,Faster,1,6370000,,
1,The Royal Treatment,2,26580000,,
2,Home Team,1,21050000,,
3,Munich – The Edge of War,2,17320000,,
4,Don't Look Up,6,10250000,,
5,The Secret Life of Pets 2,3,7850000,,
6,Red Notice,12,6540000,,
7,Hotel Transylvania 3: Summer Vacation,5,6280000,,
8,Brazen,3,5840000,,
9,The Possession of Hannah Grace,1,5760000,,
10,A Perfect Enemy,1,4870000,,
1,The Royal Treatment,1,42490000,,
2,Brazen,2,28570000,,
3,Don't Look Up,5,17130000,,
4,The Secret Life of Pets 2,2,16800000,,
5,Riverdance: The Animated Adventure,2,11840000,,
6,Munich – The Edge of War,1,11110000,,
7,After We Fell,1,8980000,,
8,Red Notice,11,7310000,,
9,Back to the Outback,7,6320000,,
10,Mother/Android,3,5330000,,
1,Brazen,1,45340000,,
2,Don't Look Up,4,28390000,,
3,Mother/Android,2,23170000,,
4,The Secret Life of Pets 2,1,9390000,,
5,Just Go With It,3,8790000,,
6,Red Notice,10,8710000,,
7,Back to the Outback,6,8710000,,
8,Tides,1,8470000,,
9,Riverdance: The Animated Adventure,1,7860000,,
10,The Clovehitch Killer,1,7000000,,
1,Don't Look Up,3,58200000,,
2,Mother/Android,1,29730000,,
3,The Lost Daughter,2,20370000,,
4,Back to the Outback,5,12430000,,
5,The Unforgivable,5,11340000,,
6,Red Notice,9,11090000,,
7,Just Go With It,2,10530000,,
8,Journey 2: The Mysterious Island,2,10520000,,
9,Seal Team,1,10310000,,
10,The Longest Yard,1,9960000,,
1,Don't Look Up,2,152290000,,
2,The Unforgivable,4,21310000,,
3,The Lost Daughter,1,18260000,,
4,Back to the Outback,4,17720000,,
5,Red Notice,8,14540000,,
6,Spider-Man: Homecoming,3,14180000,,
7,Fast & Furious Presents: Hobbs & Shaw,2,12870000,,
8,Death to 2021,1,10380000,,
9,Journey 2: The Mysterious Island,1,5440000,,
10,Spider-Man,1,5430000,,
1,Don't Look Up,1,111030000,,
2,The Unforgivable,3,26600000,,
3,Fast & Furious Presents: Hobbs & Shaw,1,26590000,,
4,Back to the Outback,3,24750000,,
5,Spider-Man: Homecoming,2,20000000,,
6,The Christmas Chronicles,4,12910000,,
7,Red Notice,7,12140000,,
8,A California Christmas: City Lights,2,11630000,,
9,The Christmas Chronicles: Part Two,3,10990000,,
10,A Boy Called Christmas,5,9120000,,
1,The Unforgivable,2,74440000,,
2,Back to the Outback,2,38990000,,
3,A California Christmas: City Lights,1,22860000,,
4,Red Notice,6,12710000,,
5,The Shack,1,11730000,,
6,Spider-Man: Homecoming,1,9370000,,
7,John Wick: Chapter 3 - Parabellum,1,8790000,,
8,The Christmas Chronicles,3,8430000,,
9,The Christmas Chronicles: Part Two,2,7840000,,
10,A Boy Called Christmas,4,7270000,,
1,The Unforgivable,1,85860000,,
2,Red Notice,5,18010000,,
3,Back to the Outback,1,16170000,,
4,The Power of the Dog,2,13280000,,
5,Single All The Way,2,11140000,,
6,A Boy Called Christmas,3,10750000,,
7,A Castle For Christmas,3,10050000,,
8,Redemption Day,1,9790000,,
9,Bruised,3,8970000,,
10,The Christmas Chronicles,2,8510000,,
1,The Power of the Dog,1,27200000,,
2,A Castle For Christmas,2,25550000,,
3,Red Notice,4,25400000,,
4,Bruised,2,23370000,,
5,A Boy Called Christmas,2,19360000,,
6,Single All The Way,1,13820000,,
7,14 Peaks: Nothing Is Impossible,1,12170000,,
8,The Christmas Chronicles,1,7940000,,
9,The Christmas Chronicles: Part Two,1,7790000,,
10,Love Hard,5,7240000,,
1,Red Notice,3,50650000,,
2,Bruised,1,47700000,,
3,A Boy Called Christmas,1,26820000,,
4,A Castle For Christmas,1,20870000,,
5,The Princess Switch 3: Romancing the Star,2,16250000,,
6,The Croods,2,15860000,,
7,Jack Reacher: Never Go Back,1,14670000,,
8,Extinct,1,13320000,,
9,Central Intelligence,2,10520000,,
10,Love Hard,4,9780000,,
1,Red Notice,2,129110000,,
2,The Princess Switch 3: Romancing the Star,1,24770000,,
3,Love Hard,3,21240000,,
4,Central Intelligence,1,14910000,,
5,The Harder They Fall,3,13770000,,
6,The Croods,1,13440000,,
7,Army of Thieves,4,12260000,,
8,Trolls,1,10120000,,
9,6 Underground,1,7770000,,
10,Goosebumps 2: Haunted Halloween,1,7680000,,
1,Red Notice,1,148720000,,
2,Love Hard,2,58560000,,
3,The Harder They Fall,2,33060000,,
4,Army of Thieves,3,20560000,,
5,Father Christmas Is Back,1,13780000,,
6,211,1,7900000,,
7,Army of the Dead,3,7620000,,
8,Passing,1,7490000,,
9,Transformers: The Last Knight,2,6920000,,
10,Jumanji: The Next Level,1,6760000,,
1,Army of Thieves,2,71610000,,
2,The Harder They Fall,1,64760000,,
3,Love Hard,1,40530000,,
4,Army of the Dead,2,16910000,,
5,Transformers: The Last Knight,1,13180000,,
6,21 Jump Street,1,11690000,,
7,Hypnotic,2,11140000,,
8,The Girl in the Spider's Web,1,6580000,,
9,Amina,1,6110000,,
10,Just Go With It,1,5740000,,
1,Army of Thieves,1,49640000,,
2,Hypnotic,1,24620000,,
3,Night Teeth,2,17010000,,
4,Final Score,1,9840000,,
5,King Arthur: Legend of the Sword,1,9150000,,
6,Only Mine,1,6670000,,
7,Army of the Dead,1,5780000,,
8,Bloodshot,1,5600000,,
9,A Dog's Journey,2,5350000,,
10,Venom,4,4190000,,
1,Night Teeth,1,31870000,,
2,Venom,3,7900000,,
3,What Happens in Vegas,1,7380000,,
4,A Dog's Journey,1,5780000,,
5,My Little Pony: A New Generation,5,5570000,,
6,Unfaithful,1,5350000,,
7,Going in Style,2,4520000,,
8,The Guilty,4,4400000,,
9,Street Kings,1,3440000,,
10,Hotel Transylvania 3: Summer Vacation,4,3430000,,
1,Venom,2,20410000,,
2,The Guilty,3,12590000,,
3,Security,2,9470000,,
4,My Little Pony: A New Generation,4,8220000,,
5,There's Someone Inside Your House,2,7380000,,
6,Pokémon the Movie: Secrets of the Jungle,2,7300000,,
7,Redemption,1,5800000,,
8,Titanic,2,5000000,,
9,Going in Style,1,4950000,,
10,Knight and Day,1,4770000,,
1,The Guilty,2,42280000,,
2,There's Someone Inside Your House,1,20480000,,
3,Venom,1,13920000,,
4,My Little Pony: A New Generation,3,13370000,,
5,Titanic,1,10270000,,
6,Ride Along 2,1,8030000,,
7,Heat,1,7650000,,
8,Pokémon the Movie: Secrets of the Jungle,1,7520000,,
9,Mr. & Mrs. Smith,1,7180000,,
10,Security,1,6830000,,
1,The Guilty,1,47600000,,
2,My Little Pony: A New Generation,2,24510000,,
3,The Starling,2,20130000,,
4,No One Gets Out Alive,1,17010000,,
5,Britney Vs Spears,1,16750000,,
6,Intrusion,2,12050000,,
7,Grown Ups,2,8130000,,
8,Kate,4,5680000,,
9,Man on Fire,3,4960000,,
10,Vivo,7,4160000,,
1,Intrusion,1,30040000,,
2,The Starling,1,16670000,,
3,My Little Pony: A New Generation,1,15510000,,
4,Man on Fire,2,12590000,,
5,Kate,3,11280000,,
6,Grown Ups,1,9250000,,
7,Schumacher,2,8040000,,
8,Safe House,2,6930000,,
9,Nightbooks,2,6790000,,
10,The Marksman,2,5210000,,
1,Kate,2,37400000,,
2,Schumacher,1,17290000,,
3,Man on Fire,1,16160000,,
4,The Marksman,1,14680000,,
5,Nightbooks,1,13160000,,
6,The Equalizer 2,1,12310000,,
7,Firedrake the Silver Dragon,1,9650000,,
8,Safe House,1,9060000,,
9,Afterlife of the Party,3,8100000,,
10,First Kill,1,6950000,,
1,Kate,1,38780000,,
2,Afterlife of the Party,2,23790000,,
3,Worth,2,13560000,,
4,He's All That,3,10930000,,
5,SAS: Rise of the Black Swan,3,9930000,,
6,In Time,1,8930000,,
7,Noah,1,7770000,,
8,Vivo,6,6960000,,
9,Sweet Girl,4,6570000,,
10,Monte Carlo,1,6200000,,
1,He's All That,2,36730000,,
2,SAS: Rise of the Black Swan,2,32730000,,
3,Afterlife of the Party,1,26710000,,
4,Sweet Girl,3,13390000,,
5,Vivo,5,9380000,,
6,The Loud House Movie,3,6640000,,
7,Worth,1,6480000,,
8,The Secret Life of Pets,3,6450000,,
9,Welcome Home Roscoe Jenkins,1,6270000,,
10,Green Lantern,1,6230000,,
1,Sweet Girl,2,48140000,,
2,He's All That,1,42810000,,
3,SAS: Rise of the Black Swan,1,35650000,,
4,The Loud House Movie,2,16910000,,
5,The Old Ways,1,13720000,,
6,Vivo,4,13430000,,
7,The Witcher: Nightmare of the Wolf,1,13300000,,
8,The Secret Life of Pets,2,10860000,,
9,The Kissing Booth 3,3,9560000,,
10,Tomb Raider,1,8430000,,
1,Sweet Girl,1,57160000,,
2,The Kissing Booth 3,2,26170000,,
3,Beckett,2,23870000,,
4,Vivo,3,21960000,,
5,The Loud House Movie,1,13860000,,
6,The Secret Life of Pets,1,10110000,,
7,Hotel Transylvania 3: Summer Vacation,3,8550000,,
8,The Girl Next Door,1,6900000,,
9,Alvin and the Chipmunks: Chipwrecked,1,6870000,,
10,Resort to Love,4,6320000,,
1,The Kissing Booth 3,1,90860000,,
2,Vivo,2,37050000,,
3,Beckett,1,23580000,,
4,Hotel Transylvania 3: Summer Vacation,2,21460000,,
5,Aftermath,2,15870000,,
6,Resort to Love,3,9860000,,
7,The Kissing Booth,1,8590000,,
8,The Kissing Booth 2,1,8370000,,
9,Dead Man Down,2,7580000,,
10,Untold: Malice at the Palace,1,6450000,,
1,Aftermath,1,24200000,,
2,Resort to Love,2,23480000,,
3,Vivo,1,21940000,,
4,The Vault,1,10870000,,
5,The Losers,1,8040000,,
6,The Last Letter From Your Lover,3,6850000,,
7,Hotel Transylvania 3: Summer Vacation,1,6250000,,
8,Dead Man Down,1,5840000,,
9,Wish Dragon,5,5150000,,
10,World Trade Center,1,5050000,,
1,Resort to Love,1,28050000,,
2,The Last Letter From Your Lover,2,18890000,,
3,Trollhunters: Rise of the Titans,2,8960000,,
4,Fear Street Part 1: 1994,5,6570000,,
5,Wish Dragon,4,6290000,,
6,Fear Street Part 3: 1666,3,6190000,,
7,Twilight,3,5840000,,
8,Fear Street Part 2: 1978,4,5840000,,
9,The Twilight Saga: Breaking Dawn: Part 2,2,5200000,,
10,The Twilight Saga: New Moon,2,5030000,,
1,Trollhunters: Rise of the Titans,1,16130000,,
2,The Last Letter From Your Lover,1,13140000,,
3,Twilight,2,12550000,,
4,Fear Street Part 3: 1666,2,12350000,,
5,The Twilight Saga: New Moon,1,10320000,,
6,Fear Street Part 1: 1994,4,9240000,,
7,The Twilight Saga: Breaking Dawn: Part 2,1,9240000,,
8,The Twilight Saga: Eclipse,1,9220000,,
9,Fear Street Part 2: 1978,3,9100000,,
10,The Twilight Saga: Breaking Dawn: Part 1,1,8250000,,
1,Fear Street Part 3: 1666,1,20080000,,
2,Fear Street Part 2: 1978,2,16820000,,
3,Fear Street Part 1: 1994,3,14370000,,
4,Gunpowder Milkshake,1,11770000,,
5,The Water Man,1,11630000,,
6,This Little Love of Mine,2,8810000,,
7,Wish Dragon,3,8550000,,
8,Fatherhood,3,7790000,,
9,Twilight,1,7640000,,
10,Rust Creek,1,6560000,,
1,Fear Street Part 1: 1994,2,19550000,,
2,Fear Street Part 2: 1978,1,16060000,,
3,Fatherhood,2,12830000,,
4,Warcraft,2,10990000,,
5,Wish Dragon,2,10590000,,
6,This Little Love of Mine,1,9390000,,
7,Mother's Day,1,9200000,,
8,How to Train Your Dragon: The Hidden World,1,9030000,,
9,Kung Fu Panda 3,2,8870000,,
10,The Huntsman: Winter's War,1,7460000,,
